Steps,Policy/Entropy,Environment/Episode Length,High Score,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
2310000,0.0091933645,None,6009.0,0.6953854,None,None,0.017693905,0.07047824,0.00028616987,1.0
2320000,0.008669521,None,6036.0,0.68386954,None,None,0.014187899,0.06708701,0.00028610573,1.0
2330000,0.008919825,None,6063.0,0.70663136,None,None,0.019955866,0.064477384,0.0002860483,1.0
2340000,0.00920919,None,6091.0,0.6989962,None,None,0.019642573,0.06736628,0.00028599091,1.0
2350000,0.009600186,None,6121.0,0.71649647,None,None,0.018743206,0.06853266,0.000285927,1.0
2360000,0.009047595,None,6151.0,0.7386664,None,None,0.021972481,0.06950203,0.0002858692,1.0
2370000,0.0081505515,103675.0,6176.0,0.7113211,733.0000088587403,733.0000088587403,0.020461246,0.066774935,0.0002858116,1.0
2380000,0.010547949,None,6214.0,0.7041145,None,None,0.01821274,0.06308317,0.00028574717,1.0
2390000,0.013784154,None,6241.0,0.6924103,None,None,0.016936725,0.07475289,0.0002856894,1.0
2400000,0.008862429,None,6265.0,0.7042166,None,None,0.019935334,0.067860305,0.00028563174,1.0
2410000,0.008825017,None,6296.0,0.7078877,None,None,0.019176494,0.06867092,0.00028556763,1.0
2420000,0.008609977,None,6330.0,0.70429873,None,None,0.01814141,0.07226524,0.00028551026,1.0
2430000,0.00788546,None,6360.0,0.68715465,None,None,0.014656737,0.06114022,0.00028545287,1.0
2440000,0.008566155,None,6393.0,0.7020502,None,None,0.01740804,0.07004304,0.0002853889,1.0
2450000,0.009164922,None,6419.0,0.6712164,None,None,0.013835225,0.06484034,0.00028533104,1.0
2460000,0.0079542585,None,6448.0,0.66184187,None,None,0.017548127,0.07131696,0.00028527394,1.0
2470000,0.008192138,None,6472.0,0.6902264,None,None,0.016095346,0.07283296,0.00028521015,1.0
2480000,0.0073610377,None,6501.0,0.7099362,None,None,0.017686512,0.06575944,0.00028514583,1.0
2490000,0.00956077,None,6530.0,0.70222545,None,None,0.016405743,0.060843192,0.00028508826,1.0
2500000,0.0085371705,None,6554.0,0.7084513,None,None,0.021629672,0.066692,0.00028503063,1.0
2510000,0.009603874,42025.5,6584.0,0.68593764,286.10000348091125,286.10000348091125,0.025095943,0.065243855,0.00028496617,1.0
2520000,0.00887693,None,6611.0,0.68949497,None,None,0.014740864,0.071304314,0.000284909,1.0
2530000,0.008688105,None,6644.0,0.689653,None,None,0.020234326,0.06888877,0.00028485156,1.0
2540000,0.007312629,None,6676.0,0.7151522,None,None,0.021643082,0.073486805,0.00028478744,1.0
2550000,0.008772453,None,6701.0,0.7032927,None,None,0.016803328,0.06922342,0.00028473025,1.0
2560000,0.008594378,None,6735.0,0.7186978,None,None,0.016810192,0.065521576,0.00028467254,1.0
